tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
836,8/16/2017 14:06,8/16/2017 14:20,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,474,5 Ave & E 29 St,40.7451677,-73.98683077,18204,Subscriber,1967,2
318,10/12/2015 9:14,10/12/2015 9:20,435,W 21 St & 6 Ave,40.74173969,-73.99415556,496,E 16 St & 5 Ave,40.73726186,-73.99238967,19975,Subscriber,1969,1
663,3/29/2017 8:41,3/29/2017 8:52,3082,Hope St & Union Ave,40.71167351,-73.95141312,3082,Hope St & Union Ave,40.71167351,-73.95141312,21637,Subscriber,1983,1
2439,9/27/2017 23:11,9/27/2017 23:52,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,3151,E 81 St & York Ave,40.7728384,-73.94989233,30743,Subscriber,1981,2
178,1/1/2016 18:03,1/1/2016 18:06,368,Carmine St & 6 Ave,40.73038599,-74.00214988,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,22351,Subscriber,1976,2
541,55:19.3,04:21.2,3641,Broadway & W 25 St,40.74286877,-73.98918629,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,32318,Subscriber,1989,1
1846,7/16/2015 17:09,7/16/2015 17:39,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,348,W Broadway & Spring St,40.72490985,-74.00154702,17461,Customer,,0
1302,7/25/2017 8:16,7/25/2017 8:38,3077,Stagg St & Union Ave,40.70877084,-73.95095259,195,Liberty St & Broadway,40.70905623,-74.01043382,25897,Subscriber,1985,2
1356,9/30/2015 12:28,9/30/2015 12:50,459,W 20 St & 11 Ave,40.746745,-74.007756,363,West Thames St,40.70834698,-74.01713445,15319,Customer,,0
138,6/29/2015 19:51,6/29/2015 19:53,529,W 42 St & 8 Ave,40.7575699,-73.99098507,479,9 Ave & W 45 St,40.76019252,-73.9912551,19724,Subscriber,1974,1
666,6/24/2017 14:53,6/24/2017 15:04,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3165,Central Park West & W 72 St,40.77579377,-73.97620574,20553,Subscriber,1958,2
