UPC,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld
7225153051,Quaker,Near East,Quaker,Corporate,True,True
7225153020,Quaker,Near East,Quaker,Corporate,True,True
7225153021,Quaker,Near East,Quaker,Corporate,True,True
7001178610,Beverages,ONE,PBC,Corporate,False,False
85565800201,Quaker,Pasta Roni,Quaker,Corporate,False,False
2840019082,FLNA,Nut Harvest,FLNA,Corporate,True,True
2840019081,FLNA,Nut Harvest,FLNA,Corporate,True,True
2840019099,FLNA,Nut Harvest,FLNA,Corporate,True,True
89499100110,Beverages,ONE,PBC,Corporate,True,True
3120002619,Beverages,Ocean Spray,PBC,JV,False,False
3120002618,Beverages,Ocean Spray,PBC,JV,False,False
3120033011,Beverages,Ocean Spray,PBC,JV,False,False
3120033013,Beverages,Ocean Spray,PBC,JV,False,False
3120033629,Beverages,Ocean Spray,PBC,JV,False,False
3120033012,Beverages,Ocean Spray,PBC,JV,False,False
3120036727,Beverages,Ocean Spray,PBC,JV,False,False
3120033016,Beverages,Ocean Spray,PBC,JV,False,False
3120020053,Beverages,Ocean Spray,PBC,JV,False,False
3120033014,Beverages,Ocean Spray,PBC,JV,False,False
3120036627,Beverages,Ocean Spray,PBC,JV,False,False
3120020311,Beverages,Ocean Spray,PBC,JV,False,False
3120028827,Beverages,Ocean Spray,PBC,JV,True,True
3120033006,Beverages,Ocean Spray,PBC,JV,False,False
3120002999,Beverages,Ocean Spray,PBC,JV,True,True
31200029997,Beverages,Ocean Spray,PBC,JV,True,True
3120027007,Beverages,Ocean Spray,PBC,JV,True,True
3120033005,Beverages,Ocean Spray,PBC,JV,False,False
3120020092,Beverages,Ocean Spray,PBC,JV,False,False
3120020071,Beverages,Ocean Spray,PBC,JV,False,False
3120021007,Beverages,Ocean Spray,PBC,JV,False,True
3120033027,Beverages,Ocean Spray,PBC,JV,False,False
3120000454,Beverages,Ocean Spray,PBC,JV,True,True
3120022007,Beverages,Ocean Spray,PBC,JV,False,False
3120020298,Beverages,Ocean Spray,PBC,JV,False,False
3120027015,Beverages,Ocean Spray,PBC,JV,False,False
3120026107,Beverages,Ocean Spray,PBC,JV,False,False
3120037007,Beverages,Ocean Spray,PBC,JV,False,False
3120035027,Beverages,Ocean Spray,PBC,JV,False,False
3120000066,Beverages,Ocean Spray,PBC,JV,False,False
3120000226,Beverages,Ocean Spray,PBC,JV,False,False
3120000061,Beverages,Ocean Spray,PBC,JV,False,False
3120000455,Beverages,Ocean Spray,PBC,JV,False,False
3120020007,Beverages,Ocean Spray,PBC,JV,False,False
3120023027,Beverages,Ocean Spray,PBC,JV,True,True
3120020300,Beverages,Ocean Spray,PBC,JV,False,False
3120000191,Beverages,Ocean Spray,PBC,JV,False,False
3120000462,Beverages,Ocean Spray,PBC,JV,False,False
3120020031,Beverages,Ocean Spray,PBC,JV,False,False
3120034227,Beverages,Ocean Spray,PBC,JV,False,False
3120020043,Beverages,Ocean Spray,PBC,JV,False,False
3120000186,Beverages,Ocean Spray,PBC,JV,True,True
1600042596,Beverages,Ocean Spray,PBC,JV,True,True
1600045451,Beverages,Ocean Spray,PBC,JV,False,True
4850002159,Beverages,Ocean Spray,PBC,JV,False,False
3120000345,Beverages,Ocean Spray,PBC,JV,False,False
3120000346,Beverages,Ocean Spray,PBC,JV,False,False
3120000351,Beverages,Ocean Spray,PBC,JV,True,True
2533544014,Quaker,Quaker,Quaker,Corporate,False,False
7025346944,Quaker,Pasta Roni,Quaker,Corporate,False,False
9370960044,Quaker,Quaker,Quaker,Corporate,False,False
1530044009,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044082,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044051,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530020013,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044132,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044017,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044035,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044025,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530020014,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044049,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044032,Quaker,Pasta Roni,Quaker,Corporate,True,True
1530044033,Quaker,Pasta Roni,Quaker,Corporate,True,True
