,0,1,2,3,4,5
0,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film
1,Rank,Series,Total worldwide box office,No. of films,Average of films,Highest-grossing film
21,"3 Ice Age $3,216,708,553 5 $643,341,711 Dawn of the Dinosaurs ($886,686,817) 1 Dawn of the Dinosaurs (2009) $886,686,817 2 Continental Drift (2012) $877,244,782 3 The Meltdown (2006) $660,940,780 4 Collision Course (2016) $408,579,038 5 Ice Age (2002) $383,257,136","3 Ice Age $3,216,708,553 5 $643,341,711 Dawn of the Dinosaurs ($886,686,817) 1 Dawn of the Dinosaurs (2009) $886,686,817 2 Continental Drift (2012) $877,244,782 3 The Meltdown (2006) $660,940,780 4 Collision Course (2016) $408,579,038 5 Ice Age (2002) $383,257,136","3 Ice Age $3,216,708,553 5 $643,341,711 Dawn of the Dinosaurs ($886,686,817) 1 Dawn of the Dinosaurs (2009) $886,686,817 2 Continental Drift (2012) $877,244,782 3 The Meltdown (2006) $660,940,780 4 Collision Course (2016) $408,579,038 5 Ice Age (2002) $383,257,136","3 Ice Age $3,216,708,553 5 $643,341,711 Dawn of the Dinosaurs ($886,686,817) 1 Dawn of the Dinosaurs (2009) $886,686,817 2 Continental Drift (2012) $877,244,782 3 The Meltdown (2006) $660,940,780 4 Collision Course (2016) $408,579,038 5 Ice Age (2002) $383,257,136","3 Ice Age $3,216,708,553 5 $643,341,711 Dawn of the Dinosaurs ($886,686,817) 1 Dawn of the Dinosaurs (2009) $886,686,817 2 Continental Drift (2012) $877,244,782 3 The Meltdown (2006) $660,940,780 4 Collision Course (2016) $408,579,038 5 Ice Age (2002) $383,257,136","3 Ice Age $3,216,708,553 5 $643,341,711 Dawn of the Dinosaurs ($886,686,817) 1 Dawn of the Dinosaurs (2009) $886,686,817 2 Continental Drift (2012) $877,244,782 3 The Meltdown (2006) $660,940,780 4 Collision Course (2016) $408,579,038 5 Ice Age (2002) $383,257,136"
22,3,Ice Age,"$3,216,708,553",5,"$643,341,711","Dawn of the Dinosaurs ($886,686,817)"
23,1,Dawn of the Dinosaurs (2009),"$886,686,817",,,
24,2,Continental Drift (2012),"$877,244,782",,,
25,3,The Meltdown (2006),"$660,940,780",,,
26,4,Collision Course (2016),"$408,579,038",,,
27,5,Ice Age (2002),"$383,257,136",,,
28,"4 Madagascar $2,256,517,920 4 $564,129,480 Europe's Most Wanted ($746,921,274) Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671 Penguins of Madagascar (2014) $373,015,621","4 Madagascar $2,256,517,920 4 $564,129,480 Europe's Most Wanted ($746,921,274) Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671 Penguins of Madagascar (2014) $373,015,621","4 Madagascar $2,256,517,920 4 $564,129,480 Europe's Most Wanted ($746,921,274) Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671 Penguins of Madagascar (2014) $373,015,621","4 Madagascar $2,256,517,920 4 $564,129,480 Europe's Most Wanted ($746,921,274) Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671 Penguins of Madagascar (2014) $373,015,621","4 Madagascar $2,256,517,920 4 $564,129,480 Europe's Most Wanted ($746,921,274) Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671 Penguins of Madagascar (2014) $373,015,621","4 Madagascar $2,256,517,920 4 $564,129,480 Europe's Most Wanted ($746,921,274) Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671 Penguins of Madagascar (2014) $373,015,621"
29,4,Madagascar,"$2,256,517,920",4,"$564,129,480","Europe's Most Wanted ($746,921,274)"
30,"Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671","Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671","Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671","Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671","Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671","Main series $1,883,502,299 3 $627,834,100 Europe's Most Wanted ($746,921,274) 1 Europe's Most Wanted (2012) $746,921,274 2 Escape 2 Africa (2008) $603,900,354 3 Madagascar (2005) $532,680,671"
31,,Main series,"$1,883,502,299",3,"$627,834,100","Europe's Most Wanted ($746,921,274)"
32,1,Europe's Most Wanted (2012),"$746,921,274",,,
33,2,Escape 2 Africa (2008),"$603,900,354",,,
34,3,Madagascar (2005),"$532,680,671",,,
35,"Penguins of Madagascar (2014) $373,015,621","Penguins of Madagascar (2014) $373,015,621","Penguins of Madagascar (2014) $373,015,621","Penguins of Madagascar (2014) $373,015,621","Penguins of Madagascar (2014) $373,015,621","Penguins of Madagascar (2014) $373,015,621"
36,,Penguins of Madagascar (2014),"$373,015,621",,,
37,"5 Toy Story $1,970,175,205 3 $656,725,068 Toy Story 3 ($1,066,969,703) 1 Toy Story 3 (2010) $1,066,969,703 2 Toy Story 2 (1999) $497,366,869 3 Toy Story (1995) $373,554,033 4 Toy Story / Toy Story 2 (3D) (2009) $32,284,600","5 Toy Story $1,970,175,205 3 $656,725,068 Toy Story 3 ($1,066,969,703) 1 Toy Story 3 (2010) $1,066,969,703 2 Toy Story 2 (1999) $497,366,869 3 Toy Story (1995) $373,554,033 4 Toy Story / Toy Story 2 (3D) (2009) $32,284,600","5 Toy Story $1,970,175,205 3 $656,725,068 Toy Story 3 ($1,066,969,703) 1 Toy Story 3 (2010) $1,066,969,703 2 Toy Story 2 (1999) $497,366,869 3 Toy Story (1995) $373,554,033 4 Toy Story / Toy Story 2 (3D) (2009) $32,284,600","5 Toy Story $1,970,175,205 3 $656,725,068 Toy Story 3 ($1,066,969,703) 1 Toy Story 3 (2010) $1,066,969,703 2 Toy Story 2 (1999) $497,366,869 3 Toy Story (1995) $373,554,033 4 Toy Story / Toy Story 2 (3D) (2009) $32,284,600","5 Toy Story $1,970,175,205 3 $656,725,068 Toy Story 3 ($1,066,969,703) 1 Toy Story 3 (2010) $1,066,969,703 2 Toy Story 2 (1999) $497,366,869 3 Toy Story (1995) $373,554,033 4 Toy Story / Toy Story 2 (3D) (2009) $32,284,600","5 Toy Story $1,970,175,205 3 $656,725,068 Toy Story 3 ($1,066,969,703) 1 Toy Story 3 (2010) $1,066,969,703 2 Toy Story 2 (1999) $497,366,869 3 Toy Story (1995) $373,554,033 4 Toy Story / Toy Story 2 (3D) (2009) $32,284,600"
38,5,Toy Story,"$1,970,175,205",3,"$656,725,068","Toy Story 3 ($1,066,969,703)"
39,1,Toy Story 3 (2010),"$1,066,969,703",,,
40,2,Toy Story 2 (1999),"$497,366,869",,,
41,3,Toy Story (1995),"$373,554,033",,,
42,4,Toy Story / Toy Story 2 (3D) (2009),"$32,284,600",,,
43,"6 Finding Nemo $1,968,906,425 2 $984,453,213 Finding Dory ($1,028,570,889) 1 Finding Dory (2016) $1,028,570,889 2 Finding Nemo (2003) $940,335,536","6 Finding Nemo $1,968,906,425 2 $984,453,213 Finding Dory ($1,028,570,889) 1 Finding Dory (2016) $1,028,570,889 2 Finding Nemo (2003) $940,335,536","6 Finding Nemo $1,968,906,425 2 $984,453,213 Finding Dory ($1,028,570,889) 1 Finding Dory (2016) $1,028,570,889 2 Finding Nemo (2003) $940,335,536","6 Finding Nemo $1,968,906,425 2 $984,453,213 Finding Dory ($1,028,570,889) 1 Finding Dory (2016) $1,028,570,889 2 Finding Nemo (2003) $940,335,536","6 Finding Nemo $1,968,906,425 2 $984,453,213 Finding Dory ($1,028,570,889) 1 Finding Dory (2016) $1,028,570,889 2 Finding Nemo (2003) $940,335,536","6 Finding Nemo $1,968,906,425 2 $984,453,213 Finding Dory ($1,028,570,889) 1 Finding Dory (2016) $1,028,570,889 2 Finding Nemo (2003) $940,335,536"
44,6,Finding Nemo,"$1,968,906,425",2,"$984,453,213","Finding Dory ($1,028,570,889)"
45,1,Finding Dory (2016),"$1,028,570,889",,,
46,2,Finding Nemo (2003),"$940,335,536",,,
47,"7 The Incredibles $1,875,825,093 2 $937,912,547 Incredibles 2 ($1,242,805,359) 1 Incredibles 2 (2018) $1,242,805,359 2 The Incredibles (2004) $633,019,734","7 The Incredibles $1,875,825,093 2 $937,912,547 Incredibles 2 ($1,242,805,359) 1 Incredibles 2 (2018) $1,242,805,359 2 The Incredibles (2004) $633,019,734","7 The Incredibles $1,875,825,093 2 $937,912,547 Incredibles 2 ($1,242,805,359) 1 Incredibles 2 (2018) $1,242,805,359 2 The Incredibles (2004) $633,019,734","7 The Incredibles $1,875,825,093 2 $937,912,547 Incredibles 2 ($1,242,805,359) 1 Incredibles 2 (2018) $1,242,805,359 2 The Incredibles (2004) $633,019,734","7 The Incredibles $1,875,825,093 2 $937,912,547 Incredibles 2 ($1,242,805,359) 1 Incredibles 2 (2018) $1,242,805,359 2 The Incredibles (2004) $633,019,734","7 The Incredibles $1,875,825,093 2 $937,912,547 Incredibles 2 ($1,242,805,359) 1 Incredibles 2 (2018) $1,242,805,359 2 The Incredibles (2004) $633,019,734"
48,7,The Incredibles,"$1,875,825,093",2,"$937,912,547","Incredibles 2 ($1,242,805,359)"
49,1,Incredibles 2 (2018),"$1,242,805,359",,,
50,2,The Incredibles (2004),"$633,019,734",,,
