,0,1,2,3,4,5
0,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film
1,Rank,Series,Total worldwide box office,No. of films,Average of films,Highest-grossing film
72,"11 Hotel Transylvania $1,361,759,377 3 $453,919,792 Summer Vacation ($528,583,774) 1 Summer Vacation (2018) $528,583,774 2 Hotel Transylvania 2 (2015) $474,800,000 3 Hotel Transylvania (2012) $358,375,603","11 Hotel Transylvania $1,361,759,377 3 $453,919,792 Summer Vacation ($528,583,774) 1 Summer Vacation (2018) $528,583,774 2 Hotel Transylvania 2 (2015) $474,800,000 3 Hotel Transylvania (2012) $358,375,603","11 Hotel Transylvania $1,361,759,377 3 $453,919,792 Summer Vacation ($528,583,774) 1 Summer Vacation (2018) $528,583,774 2 Hotel Transylvania 2 (2015) $474,800,000 3 Hotel Transylvania (2012) $358,375,603","11 Hotel Transylvania $1,361,759,377 3 $453,919,792 Summer Vacation ($528,583,774) 1 Summer Vacation (2018) $528,583,774 2 Hotel Transylvania 2 (2015) $474,800,000 3 Hotel Transylvania (2012) $358,375,603","11 Hotel Transylvania $1,361,759,377 3 $453,919,792 Summer Vacation ($528,583,774) 1 Summer Vacation (2018) $528,583,774 2 Hotel Transylvania 2 (2015) $474,800,000 3 Hotel Transylvania (2012) $358,375,603","11 Hotel Transylvania $1,361,759,377 3 $453,919,792 Summer Vacation ($528,583,774) 1 Summer Vacation (2018) $528,583,774 2 Hotel Transylvania 2 (2015) $474,800,000 3 Hotel Transylvania (2012) $358,375,603"
73,11,Hotel Transylvania,"$1,361,759,377",3,"$453,919,792","Summer Vacation ($528,583,774)"
74,1,Summer Vacation (2018),"$528,583,774",,,
75,2,Hotel Transylvania 2 (2015),"$474,800,000",,,
76,3,Hotel Transylvania (2012),"$358,375,603",,,
77,"12 Monsters, Inc. $1,321,655,171 2 $660,827,586 Monsters University ($744,229,437) 1 Monsters University (2013) $744,229,437 2 Monsters, Inc. (2001) $577,425,734","12 Monsters, Inc. $1,321,655,171 2 $660,827,586 Monsters University ($744,229,437) 1 Monsters University (2013) $744,229,437 2 Monsters, Inc. (2001) $577,425,734","12 Monsters, Inc. $1,321,655,171 2 $660,827,586 Monsters University ($744,229,437) 1 Monsters University (2013) $744,229,437 2 Monsters, Inc. (2001) $577,425,734","12 Monsters, Inc. $1,321,655,171 2 $660,827,586 Monsters University ($744,229,437) 1 Monsters University (2013) $744,229,437 2 Monsters, Inc. (2001) $577,425,734","12 Monsters, Inc. $1,321,655,171 2 $660,827,586 Monsters University ($744,229,437) 1 Monsters University (2013) $744,229,437 2 Monsters, Inc. (2001) $577,425,734","12 Monsters, Inc. $1,321,655,171 2 $660,827,586 Monsters University ($744,229,437) 1 Monsters University (2013) $744,229,437 2 Monsters, Inc. (2001) $577,425,734"
78,12,"Monsters, Inc.","$1,321,655,171",2,"$660,827,586","Monsters University ($744,229,437)"
79,1,Monsters University (2013),"$744,229,437",,,
80,2,"Monsters, Inc. (2001)","$577,425,734",,,
81,"13 Doraemon $1,095,317,722 40 $27,382,943 Stand by Me Doraemon ($183,442,714) New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212 Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000 Stand by Me Doraemon (2014) $183,442,714","13 Doraemon $1,095,317,722 40 $27,382,943 Stand by Me Doraemon ($183,442,714) New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212 Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000 Stand by Me Doraemon (2014) $183,442,714","13 Doraemon $1,095,317,722 40 $27,382,943 Stand by Me Doraemon ($183,442,714) New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212 Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000 Stand by Me Doraemon (2014) $183,442,714","13 Doraemon $1,095,317,722 40 $27,382,943 Stand by Me Doraemon ($183,442,714) New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212 Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000 Stand by Me Doraemon (2014) $183,442,714","13 Doraemon $1,095,317,722 40 $27,382,943 Stand by Me Doraemon ($183,442,714) New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212 Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000 Stand by Me Doraemon (2014) $183,442,714","13 Doraemon $1,095,317,722 40 $27,382,943 Stand by Me Doraemon ($183,442,714) New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212 Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000 Stand by Me Doraemon (2014) $183,442,714"
82,13,Doraemon,"$1,095,317,722",40,"$27,382,943","Stand by Me Doraemon ($183,442,714)"
83,"New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212","New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212","New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212","New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212","New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212","New Generation $572,155,519 14 $40,868,251 Nobita's Treasure Island ($81,481,186) 1 Nobita's Treasure Island (2018) $81,481,186 2 Great Adventure in the Antarctic Kachi Kochi (2017) $61,060,700 3 Nobita and the Birth of Japan 2016 (2016) $50,939,840 4 Nobita and the Island of Miracles (2012) $46,180,706 5 Nobita's Secret Gadget Museum (2013) $42,770,271 6 Peko and the Exploration Party of Five (2014) $35,861,856 7 Nobita's Space Heroes (2015) $34,811,747 8 Nobita's Great Battle of the Mermaid King (2010) $34,701,783 9 Nobita's Chronicle of the Moon Exploration (2019) $34,519,864 10 Nobita's great adventure in the underworld (2007) $32,787,846 11 Nobita and the Green Giant Legend (2008) $31,393,786 12 Nobita's Dinosaur 2006 (2006) $30,963,292 13 Nobita and the New Steel Troops-Winged Angels (2011) $29,260,430 14 The Record of Nobita's Spaceblazer (2009) $25,422,212"
84,,New Generation,"$572,155,519",14,"$40,868,251","Nobita's Treasure Island ($81,481,186)"
85,1,Nobita's Treasure Island (2018),"$81,481,186",,,
86,2,Great Adventure in the Antarctic Kachi Kochi (2017),"$61,060,700",,,
87,3,Nobita and the Birth of Japan 2016 (2016),"$50,939,840",,,
88,4,Nobita and the Island of Miracles (2012),"$46,180,706",,,
89,5,Nobita's Secret Gadget Museum (2013),"$42,770,271",,,
90,6,Peko and the Exploration Party of Five (2014),"$35,861,856",,,
91,7,Nobita's Space Heroes (2015),"$34,811,747",,,
92,8,Nobita's Great Battle of the Mermaid King (2010),"$34,701,783",,,
93,9,Nobita's Chronicle of the Moon Exploration (2019),"$34,519,864",,,
94,10,Nobita's great adventure in the underworld (2007),"$32,787,846",,,
95,11,Nobita and the Green Giant Legend (2008),"$31,393,786",,,
96,12,Nobita's Dinosaur 2006 (2006),"$30,963,292",,,
97,13,Nobita and the New Steel Troops-Winged Angels (2011),"$29,260,430",,,
98,14,The Record of Nobita's Spaceblazer (2009),"$25,422,212",,,
