,0,1,2,3,4
63,1999,Toy Story 2,"$497,366,869 ($485,015,179)","$90,000,000",[# 78][# 245]
64,2000,Dinosaur,"$349,822,765","$127,500,000",[# 246]
65,2001,"Monsters, Inc.","$577,425,734 ($525,373,250)","$115,000,000",[# 56]
66,2002,Ice Age,"$383,257,136","$59,000,000",[# 247]
67,2003,Finding Nemo,"$940,335,536 ($867,893,978)","$94,000,000",[# 13]
68,2004,Shrek 2,"$919,838,758","$150,000,000",[# 15]
69,2005,Madagascar,"$532,680,671","$75,000,000",[# 67]
70,2006,Ice Age: The Meltdown,"$660,940,780","$80,000,000",[# 36]
71,2007,Shrek the Third,"$798,958,162","$160,000,000",[# 24]
72,2008,Kung Fu Panda,"$631,744,560","$130,000,000",[# 44]
73,2009,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$90,000,000",[# 17]
74,2010,Toy Story 3,"$1,066,969,703","$200,000,000",[# 4]
75,2011,Kung Fu Panda 2,"$665,692,281","$150,000,000",[# 34]
76,2012,Ice Age: Continental Drift,"$877,244,782","$95,000,000",[# 19]
77,2013,Frozen [nb 2],"$1,290,000,000 ($1.287×109)","$150,000,000",[# 1]
78,2014,Big Hero 6,"$657,818,612","$165,000,000",[# 38]
79,2015,Minions,"$1,159,398,397","$74,000,000",[# 3]
80,2016,Finding Dory,"$1,028,570,889","$200,000,000",[# 7]
81,2017,Despicable Me 3,"$1,034,799,409","$80,000,000",[# 6]
82,2018,Incredibles 2,"$1,242,805,359","$200,000,000",[# 2][# 248]
83,2019,How to Train Your Dragon: The Hidden World,"$509,000,740","$129,000,000",[# 75]
