UPCMasterId,UPC,GTINNumber,UPCName,GTINName,SAPHierId,DefaultHierId,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld,IRIUPC,IRI_UPCName,IRI_Category,IRI_SubCategory,OLD_IRI_Category,OLD_IRI_SubCategory,ASIN,ASIN_Name,PlanningBrandName,PlanningBrandSAPId,BrandCategory,SAPSegmentName,ParentCompany,ParentCompanyName,ParentCompanyOld,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,ECom_Category,LineExtension,TradeMark,Manufacturer,IsUPCNew,Source,IsSaturatedFatCompliant,IsSodiumCompliant,KCal,SaturatedFatInGrams,SodiumInMg,CustomCategory,CustomProductGroup,InnovationClass,InnovationSubClass,GTINMasterId,IRICategoryId,CustomUSFLNASaltySnacksSize,CustomUSCount,CustomUSSizePerUnitOz,IsMdmFuzzy,IsSapFuzzy,CLASS_NM,SIZE_DSC,WMT_ItemID,COPA_PLNG_BRND_VAL,COPA_PLNG_BRND_NM,LastUpdatedUserId,Brd_Source,MDM_GTINNumber,MDM_GTINName,Created,NAN_Category,FiananceSubBU,FinanceBrand,FinanceSubBrand,ExcludeFlag,BrandMasterId,Hrzn_Pkg_Grp_Desc,Config_Qty,Harmonized_SubCategory,Level2_Harmonized_SubCategory,Level1_Harmonized_SubCategory
1274,4900004584,0004900004584,Coke Zero,Coke Zero,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,4900004584,COKE ZERO 6PK 6/16.9 FO,CARBONATED BEVERAGES,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,NULL,NULL,NULL,NULL,NULL,NULL,COCA COLA CO,Cocacola Company,COCA COLA CO,COKE ZERO 6PK 6/16.9 FO,Coke Zero,Coke Zero,0,0,1,Other,NULL,NULL,COCA-COLA,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25549,743734,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,RUFFLES,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,CARBONATED SOFT DRINKS,Beverages RTD,PAB LRB
1276,4900004257,NULL,Coca-Cola Zero 1.5 LTR BTL,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,0049000042571,"COCA COLA ZERO SODA COLA PLASTIC BOTTLE 1 CT 50.7 OZ ",CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,NULL,NULL,NULL,NULL,NULL,NULL,COCA COLA CO,NULL,COCA COLA CO,"COCA COLA ZERO SODA COLA PLASTIC BOTTLE 1 CT 50.7 OZ ",Coca-Cola Zero 1.5 LTR BTL,Coca-Cola Zero 1.5 LTR BTL,0,0,1,Other,COKE ZERO,COKE,COCA COLA,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57973,N/A,1 CT,50.70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,CARBONATED SOFT DRINKS,Beverages RTD,PAB LRB
1277,4900004258,NULL,Coca-Cola Zero 2 LTR BTL,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,0049000042581,"COCA COLA ZERO SODA COLA PLASTIC BOTTLE 1 CT 67.6 OZ ",CARBONATED BEVERAGES,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,NULL,NULL,NULL,NULL,NULL,NULL,COCA COLA CO,NULL,COCA COLA CO,"COCA COLA ZERO SODA COLA PLASTIC BOTTLE 1 CT 67.6 OZ ",Coca-Cola Zero 2 LTR BTL,Coca-Cola Zero 2 LTR BTL,0,0,1,Other,COKE ZERO,COKE,COCA COLA,0,ShiptShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57974,N/A,1 CT,67.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,CARBONATED SOFT DRINKS,Beverages RTD,PAB LRB
1278,4900005014,0004900005014,Coke Zero,Coke Zero,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,4900005014,COKE ZERO 2 LT,CARBONATED BEVERAGES,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,NULL,NULL,NULL,NULL,NULL,NULL,COCA COLA CO,Cocacola Company,COCA COLA CO,COKE ZERO 2 LT,Coke Zero,Coke Zero,0,0,1,Other,NULL,NULL,COCA-COLA,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25860,749482,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,RUFFLES,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,CARBONATED SOFT DRINKS,Beverages RTD,PAB LRB
1284,4900006150,NULL,Coca-Cola Zero Sixer - 6 pk 12 OZ CAN,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,0049000061501,"COCA COLA ZERO SODA COLA CAN IN FRIDGE PCK BX 6 CT 72 OZ ",CARBONATED BEVERAGES,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,NULL,NULL,NULL,NULL,NULL,NULL,COCA COLA CO,Coca Cola Company,COCA COLA CO,"COCA COLA ZERO SODA COLA CAN IN FRIDGE PCK BX 6 CT 72 OZ ",Coca-Cola Zero Sixer - 6 pk 12 OZ CAN,Coca-Cola Zero Sixer - 6 pk 12 OZ CAN,0,0,1,Other,COKE ZERO,COKE,COCA COLA,0,ShiptShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58485,N/A,6 CT,12.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,CARBONATED SOFT DRINKS,Beverages RTD,PAB LRB
1288,64174882549,NULL,COCO Pop Cakes Multigrain Maui Onion Lite All Natural 2.64 OZ BAG,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,0641748825491,"COCO LITE POPCORN RICE CAKE MAUI ONION REGULAR 2.64 OZ ",RICE/POPCORN CAKES,LITE SNACKS,LITE SNACKS,LITE SNACKS,NULL,NULL,NULL,NULL,NULL,NULL,"COCO INTERNATIONAL, INC.",NULL,PRIVATE LABEL,"COCO LITE POPCORN RICE CAKE MAUI ONION REGULAR 2.64 OZ ",COCO Pop Cakes Multigrain Maui Onion Lite All Natural 2.64 OZ BAG,COCO Pop Cakes Multigrain Maui Onion Lite All Natural 2.64 OZ BAG,0,0,1,Other,COCO LITE,COCO,"COCO INTERNATIONAL, INC.",0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107274,N/A,15 CT,2.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ElvnDgtIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,LITE SNACKS,Savory Snacks,TOTAL MACROSNACKS
1297,4900006130,NULL,Coke Caffeine Free Diet - 8 pk 12 OZ BTL,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,0049000068641,"FANTA SODA ORANGE CAN 1 CT 10.5 OZ ",CARBONATED BEVERAGES,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,NULL,NULL,NULL,NULL,NULL,NULL,COCA COLA CO,NULL,COCA COLA CO,Coke Caffeine Free Diet - 8 pk 12 OZ BTL,Coke Caffeine Free Diet - 8 pk 12 OZ BTL,Coke Caffeine Free Diet - 8 pk 12 OZ BTL,1,1,0,Other,FANTA,FANTA,COCA COLA,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,704447,N/A,1 CT,10.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AdminMtch421,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,CARBONATED SOFT DRINKS,Beverages RTD,PAB LRB
1289,9492218182,NULL,COCO Pop Cakes Multigrain Original Lite All Natural 2.64 OZ BAG,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,0094922181821,"COCO LITE RICE CAKE MULTI GRAIN REGULAR 2.64 OZ ",RICE/POPCORN CAKES,LITE SNACKS,LITE SNACKS,LITE SNACKS,NULL,NULL,NULL,NULL,NULL,NULL,"COCO INTERNATIONAL, INC.",NULL,PRIVATE LABEL,"COCO LITE RICE CAKE MULTI GRAIN REGULAR 2.64 OZ ",COCO Pop Cakes Multigrain Original Lite All Natural 2.64 OZ BAG,COCO Pop Cakes Multigrain Original Lite All Natural 2.64 OZ BAG,0,0,1,Other,COCO LITE,COCO,"COCO INTERNATIONAL, INC.",0,ShiptShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,248811,N/A,15 CT,2.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,LITE SNACKS,Savory Snacks,TOTAL MACROSNACKS
1291,4240018469,NULL,CoCo Wheats Hot Cereal 28 OZ BOX,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,4240018469,MBST COCO WHEATS CEREAL 28 OZ,HOT CEREAL,HOT CEREAL,GRITS-HOT CEREAL,HOT CEREAL,NULL,NULL,NULL,NULL,NULL,NULL,LITTLE CROW FOODS,NULL,LITTLE CROW FOODS,MBST COCO WHEATS CEREAL 28 OZ,CoCo Wheats Hot Cereal 28 OZ BOX,CoCo Wheats Hot Cereal 28 OZ BOX,0,0,1,Other,NULL,NULL,MALT-O-,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,742741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,HOT CEREAL,Quaker Core,QUAKER FOODS
1292,4900002934,0004900002934,Diet Coke Cf 12Pk Fr,Diet Coke Cf 12Pk Fr,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,4900002934,DIET COKE CAFF FREE 12PK 12/12 FO,CARBONATED BEVERAGES,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,NULL,NULL,NULL,NULL,NULL,NULL,COCA COLA CO,Cocacola Company,COCA COLA CO,DIET COKE CAFF FREE 12PK 12/12 FO,Diet Coke Cf 12Pk Fr,Diet Coke Cf 12Pk Fr,0,0,1,Other,NULL,NULL,COCA-COLA,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25580,752845,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,RUFFLES,FirstIRIMtch,<UnAssigned>,NULL,NULL,2016-02-02 02:29:46.550,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,CARBONATED SOFT DRINKS,Beverages RTD,PAB LRB
