UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
2158,2840008391,Frito-Lay Variety Pack Classic Mix - 20 pk 20 OZ PKG,NULL,ALL FRITO LAY PRODUCTS ASTSS SALTED SNACKS ASSORTED BAG IN BAG 22 OZ - 0028400083911,18.75OZ NUTS & SEEDS BAR-B-QUE,18.75OZ NUTS & SEEDS BAR-B-QUE,0,0,1,0,FirstIRIMtch,29:46.5
2160,2840000289,Frito Lay Flavor Mix 20Ct (20 Oz),To Go,FRITO LAY FLAVOR MIX 18CT 18 OZ,Frito-Lay Flavor Mix Variety Pack (20-1 OZ) 20 Ounce 20Pk Plastic Bag,Frito-Lay Flavor Mix Do Us A Flavor Variety Pack Chips (20-1 Ounce) 20 Ounce 20 Pack Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
2161,2840008392,Frito-Lay Variety Pack Flavor Mix - 20 pk 20 OZ PKG,NULL,ALL FRITO LAY PRODUCTS ASTSS SALTED SNACKS ASSORTED INDIVID WRAP IN BAG 22 OZ - 0028400083921,Chester's Flamin Hot Fries Corn & Potato Snacks 1.75 Ounce Bag,Chester's Flamin Hot Fries Corn & Potato Snacks 1.75 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
2162,2840000308,Frito Lay Flavor Mix 32Ct (32 Oz),SALTY SNACKS,FRITO LAY FLAVOR MIX 32CT 32 OZ,FritoLay Variety Pack Flavor Mix (32 - 1 OZ) 32 Ounce 32 Pack Bag,FritoLay Variety Pack Flavor Mix (32 - 1 Ounce) 32 Ounce 32 Pack Bag in Box,0,0,1,0,FirstIRIMtch,29:46.5
2167,2840000022,Fritos Mild Cheddar Dip (9 Oz),NULL,FRITOS MILD CHEDDAR DIP 9 OZ,Fritos Mild Cheddar Cheese Dip 9 Ounce Canister,Fritos Mild Cheddar Cheese Dip 9 Ounce Aluminum Canister,0,0,1,0,FirstIRIMtch,29:46.5
1174,89470001006,Chob Grk 0 Peach,NULL,CHBN PEACH GREEK YOGURT 5.3 OZ,Chob Grk 0 Peach,Chob Grk 0 Peach,0,0,1,0,FirstIRIMtch,29:46.5
1175,81829001202,Chobani Greek Fruit on the Bottom Yogurt Pear 0% Non Fat Natural 5.3 OZ CUP,NULL,CHOBANI PEAR YOGURT RFG 1 CT 5.3 OZ ,Chobani Greek Fruit on the Bottom Yogurt Pear 0% Non Fat Natural 5.3 OZ CUP,Chobani Greek Fruit on the Bottom Yogurt Pear 0% Non Fat Natural 5.3 OZ CUP,0,0,1,0,ElvnDgtIRIMtch,29:46.5
2164,2840005804,Frito-Lay Variety Pack Flavor Mix - 50 pk 50 OZ PKG,NULL,FRITO LAY FLAVOR MIX 50CT 50 OZ,Frito Lay Flavor Mix (50-1 Oz) 50 Ounce 50Pk Bags,Frito Lay Flavor Mix (50-1 Oz) 50 Ounce 50 Plastic Bags,0,0,1,0,FirstIRIMtch,29:46.5
2165,2840000303,Frito Lay Classic Mx 32Ct (32 Oz),NULL,FRITO LAY CLASSIC MX 32CT 32 OZ,Frito Lays Variety Pack Classic Mix (32 -1 Oz) 32 Ounce 32 Pack Bag in Box,Frito Lays Variety Pack Classic Mix (32 -1 Oz) 32 Ounce 32 Pack Bag in Box,0,0,1,0,FirstIRIMtch,29:46.5
2168,2840003925,Fritos Corn Chips Barbecue 9.75 OZ BAG,NULL,FRITOS CORN CHIP BARBECUE BAG 10.5 OZ - 0028400039251,10.50OZ FRITOS CHILI CHEESE,10.50OZ FRITOS CHILI CHEESE,0,0,1,0,FirstIRIMtch,29:46.5
