10121,Fritos Regular (1.125 Oz),NULL,NULL,00028400161862,Fritos The Original Corn chips 1.125 Ounce Plastic Bag,B0086IVT58,56173,"Fritos Corn Chips, Original, 1.125 oz",10121,Fritos Regular (1.125 Oz)
10375,Fritos Original (9.25 Oz),NULL,NULL,00028400589291,Fritos Original Corn Chips 9.25 Ounce Plastic Bag,B008H2EWY8,28262,"Fritos Original Corn Chips, 9.25 oz",10375,Fritos Original (9.25 Oz)
10807,Frito Lay Bbq Sunflwr Sds (1.87 Oz),NULL,NULL,00028400039079,Frito Lay Seeds BBQ 1.875 Ounce Plastic Bag,B00H3SY62A,55524,Frito-Lay Sunflower Seeds Bbq 1.88Oz Single Serve,10807,Frito Lay Bbq Sunflwr Sds (1.87 Oz)
22967,Fritos Bbq (9.25 Oz),NULL,NULL,00028400589307,Fritos Bar-B-Q Corn Chips 9.25 Ounce Plastic Bag,B005X3AXXI,28276,"Fritos Barbecue Flavored Corn Chips, 9.25 oz",22967,Fritos Bbq (9.25 Oz)
42732,Fritos Flamin Hot (9.25 Oz),NULL,NULL,00028400589314,Fritos Flamin' Hot Corn Chips 9.25 Ounce Plastic Bag,B00J0KT8OU,28191,Fritos Cc Hot X-Large,42732,Fritos Flamin Hot (9.25 Oz)
42733,Fritos Lightly Salted (9.25 Oz),NULL,NULL,00028400589659,Fritos Lightly Salted Corn Chips 9.25 Ounce Plastic Bag,B01CT75RHW,27938,"Fritos Lightly Salted Corn Chips, 9.25 oz",42733,Fritos Lightly Salted (9.25 Oz)
42733,Fritos Lightly Salted (9.25 Oz),NULL,NULL,00028400589659,Fritos Lightly Salted Corn Chips 9.25 Ounce Plastic Bag,B01CT6UCGO,28136,"Fritos Lightly Salted Corn Chips, 9.25 oz",42733,Fritos Lightly Salted (9.25 Oz)
42955,FRITOS SCOOPS,NULL,NULL,00028400002677,Fritos Scoops Corn Chips 17.5 Ounce Plastic Bag,B00F9WTH26,27846,Unknown Name,42955,FRITOS SCOOPS
43074,Fritos Chili Cheese 50 Ct - 1 Oz,NULL,NULL,00028400043908,50.00OZ FRITOS CHILI CHEESE,B011LO9B0I,27949,Chili Cheese Fritos 50ct 1 Ounce Bags,43074,Fritos Chili Cheese 50 Ct - 1 Oz
45680,Frito Lay Party Mix Case 32Pk - 31Oz,NULL,NULL,00028400576284,"Fritolay Party Mix Variety Pack (4-.75 Ounce, 28-1 Ounce) 31.0 Ounce Plastic Bags",B013QN436O,2608,"Frito-Lay Party Mix Variety Pack, 32 Count",45680,Frito Lay Party Mix Case 32Pk - 31Oz
45680,Frito Lay Party Mix Case 32Pk - 31Oz,NULL,NULL,00028400576284,"Fritolay Party Mix Variety Pack (4-.75 Ounce, 28-1 Ounce) 31.0 Ounce Plastic Bags",B015O6PSO2,2642,"Frito-Lay Party Mix Variety Pack, 32 Count",45680,Frito Lay Party Mix Case 32Pk - 31Oz
45684,Frito-Lay Fun Times Mix 32 Count - Variety Pack,NULL,NULL,00028400576055,"FritoLay Fun Times Party Mix (3-.625oz, 4-.875oz, 25-1oz) 30.375 Ounce 32 Pack Box",B013QN43U0,2609,"Frito-Lay Fun Times Mix Variety Pack, 32 Count",45684,Frito-Lay Fun Times Mix 32 Count - Variety Pack
45684,Frito-Lay Fun Times Mix 32 Count - Variety Pack,NULL,NULL,00028400576055,"FritoLay Fun Times Party Mix (3-.625oz, 4-.875oz, 25-1oz) 30.375 Ounce 32 Pack Box",B015O6PJWS,2641,"Frito-Lay Fun Times Mix Variety Pack, 32 Count",45684,Frito-Lay Fun Times Mix 32 Count - Variety Pack
46523,Frito-Lay Sweet & Salty Mix 50 Count,NULL,NULL,00028400634571,Variety Pack Mixed 66.02 Oz/1,B01EAG3VUA,27467,"Sweet & Salty Snacks Variety Box, Mix of Cookies, Crackers, Chips & Nuts, 50 Count",46523,Frito-Lay Sweet & Salty Mix 50 Count
46523,Frito-Lay Sweet & Salty Mix 50 Count,NULL,NULL,00028400634571,Variety Pack Mixed 66.02 Oz/1,B01EHTEANM,27474,"FRITO-LAY SWEET & SALTY SNACKS VARIETY BOX, BUNDLE OF COOKIES, CRACKERS, CHIPS &?? NUTS, 66.02 OUNCE",46523,Frito-Lay Sweet & Salty Mix 50 Count
46524,Frito-Lay Hot & Spicy Mix 30 Count,NULL,NULL,00028400634557,Variety Pack Mixed 35.01 Oz/1,B01EHTE8VQ,27473,"Frito-Lay Ultimate Hot & Spicy Flavor Snack Package, Variety of chips, popcorn, nuts & more, 35.01 Ounce",46524,Frito-Lay Hot & Spicy Mix 30 Count
47205,Frito-Lay Doritos + Cheetos 44 Count - Variety Pack,NULL,NULL,00028400636711,Doritos/Cheetos VarPk  42.62z/1,B01GGHXZLG,55554,"Frito-Lay Doritos & Cheetos Mix Variety Pack, 44 Count",47205,Frito-Lay Doritos + Cheetos 44 Count - Variety Pack
48583," Frito-Lay Ultimate Snack Care Package - Chips, Cookies, Crackers & More 40 CT BOX",NULL,NULL,00028400634540,Frito Lay Variety Pack Mixed 54.26 Ounce/1,B01EAG3VZA,27466,"Ultimate Snack Care Package, Variety Assortment of Chips, Cookies, Crackers & More, 40 Count",48583," Frito-Lay Ultimate Snack Care Package - Chips, Cookies, Crackers & More 40 CT BOX"
48865,"Fritos Corn Chips, Original, 1 oz (44 Count)",NULL,NULL,0002840064748,"Fritos Corn Chips, Original, 1 oz (44 Count)",B01KQLULRE,56035,"Fritos Corn Chips, Original, 44 Ounce (Pack of 44)",48865,"Fritos Corn Chips, Original, 1 oz (44 Count)"
57482,"Fritos Cheese Dip, Jalapeno Cheddar, 9 Oz",NULL,NULL,00028400000246,Fritos Jalapeno & Cheddar Cheese Dip 9 Ounce Aluminum Canister,B00ID0DQZU,439,"Fritos Jalape̱o Cheddar Cheese Dip, 9 Ounce",57482,"Fritos Cheese Dip, Jalapeno Cheddar, 9 Oz"
57482,"Fritos Cheese Dip, Jalapeno Cheddar, 9 Oz",NULL,NULL,00028400000246,Fritos Jalapeno & Cheddar Cheese Dip 9 Ounce Aluminum Canister,B004Y32MNC,670,"Fritos Cheese Dip, Jalapeno Cheddar, 9 Ounce",57482,"Fritos Cheese Dip, Jalapeno Cheddar, 9 Oz"
57482,"Fritos Cheese Dip, Jalapeno Cheddar, 9 Oz",NULL,NULL,00028400000246,Fritos Jalapeno & Cheddar Cheese Dip 9 Ounce Aluminum Canister,B0015GS10O,204,"Fritos Jalape̱o Cheddar Cheese Dip, 9 Ounce",57482,"Fritos Cheese Dip, Jalapeno Cheddar, 9 Oz"
57483,"Fritos Bean Dip, 9 Oz",NULL,NULL,00028400000789,Fritos Original Bean Dip 9 Ounce Aluminum Canister,B0015GVJCG,217,"Fritos Original Bean Dip, 9 Ounce",57483,"Fritos Bean Dip, 9 Oz"
57483,"Fritos Bean Dip, 9 Oz",NULL,NULL,00028400000789,Fritos Original Bean Dip 9 Ounce Aluminum Canister,B004K51SJS,666,"Fritos Bean Dip, 9 Ounce",57483,"Fritos Bean Dip, 9 Oz"
57483,"Fritos Bean Dip, 9 Oz",NULL,NULL,00028400000789,Fritos Original Bean Dip 9 Ounce Aluminum Canister,B00ZBK65GM,2574,"Fritos Original Bean Dip, 9 Ounce",57483,"Fritos Bean Dip, 9 Oz"
57487,Frito Lays Variety Sack 20 Ct,NULL,NULL,00028400002882,Fritolay 2Go Classic Mix Variety Pack (20 - 1Oz) 20 Ounce Plastic Bag,B00ID0DTAM,856,"Frito-Lay Classic Mix Variety Pack, 20 Count",57487,Frito Lays Variety Sack 20 Ct
