UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
2205,1906300099,Fruit 2 O Lime Bluebr,,FRUIT2O LIME TWISTS BLUEBERRY LIME SPARKLING WATER PLASTIC BOTTLE 1 CT 17 OZ ,Fruit 2 O Lime Bluebr,Fruit 2 O Lime Bluebr,0,0,1,FALSE,FirstIRIMtch,29:46.5
2206,1906300102,Fruit 2 O Lime Twist,,FRUT2O TWSTS LIME 17 FO,Fruit 2 O Lime Twist,Fruit 2 O Lime Twist,0,0,1,FALSE,FirstIRIMtch,29:46.5
2211,1906323231,Vf Frt 2 O Lem 6Pk,,FRUIT2O NATURAL LEMON PURIFIED WATER PLSTC WRPD PLSTC BTL 6 CT 96 OZ ,Vf Frt 2 O Lem 6Pk,Vf Frt 2 O Lem 6Pk,0,0,1,FALSE,FirstIRIMtch,29:46.5
2222,2840008295,Funyuns Onion Flavored Rings 6 OZ BAG,,FUNYUNS ONION RING ONION BAG 6.5 OZ - 0028400082951,Lay's Kettle Cooked Jalapeno Potato Chips 8.5 Ounce Plastic Bag,Lay's Kettle Cooked Jalapeno Potato Chips 8.5 Ounce Plastic Bag,0,0,1,FALSE,FirstIRIMtch,29:46.5
1193,89470001031,Chob Grk 4 Plain,,CHOBANI PLAIN YOGURT RFG 1 CT 5.3 OZ ,Chob Grk 4 Plain,Chob Grk 4 Plain,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1195,81829001362,Chobani Indulgent Greek Yogurt Banana & Dark Chocolate - 4 ct 14 OZ PKG,,CHOBANI INDULGENT INDL BN & DRK CHCL YOGURT RFG 4 CT 14 OZ ,Chobani Indulgent Greek Yogurt Banana & Dark Chocolate - 4 ct 14 OZ PKG,Chobani Indulgent Greek Yogurt Banana & Dark Chocolate - 4 ct 14 OZ PKG,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1197,81829001364,Chobani Indulgent Greek Yogurt Raspberry & Dark Chocolate - 4 ct 14 OZ PKG,,CHOBANI INDULGENT RASPBRRY & DRK CHCLT YOGURT RFG 4 CT 14 OZ ,Chobani Indulgent Greek Yogurt Raspberry & Dark Chocolate - 4 ct 14 OZ PKG,Chobani Indulgent Greek Yogurt Raspberry & Dark Chocolate - 4 ct 14 OZ PKG,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1188,81829001392,Chob Grk Ban Oats Yg,,CHOBANI OATS BANANA AND MAPLE YOGURT RFG 1 CT 5.3 OZ ,Chob Grk Ban Oats Yg,Chob Grk Ban Oats Yg,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1204,81829001390,Chob Smp100 Keylime,,CHOBANI SIMPLY 100 KEY LIME YOGURT RFG 1 CT 5.3 OZ ,Chob Smp100 Keylime,Chob Smp100 Keylime,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1205,81829001389,Chob Smp100 Pnpl Cnut,,CHOBANI SIMPLY 100 PINEAPPLE COCONUT YOGURT RFG 1 CT 5.3 OZ ,Chob Smp100 Pnpl Cnut,Chob Smp100 Pnpl Cnut,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1224,68826704755,Clear Splash Cranberry Sparkling Water Beverage 1 LTR BTL,,PRIVATE LABEL CRANBERRY SPARKLING WATER PLASTIC BOTTLE 1 CT 33.8 OZ ,Clear Splash Cranberry Sparkling Water Beverage 1 LTR BTL,Clear Splash Cranberry Sparkling Water Beverage 1 LTR BTL,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1225,68826704754,Clear Splash Mandarin Orange Sparkling Water Beverage 1 LTR BTL,,PRIVATE LABEL MANDARIN ORANGE SPARKLING WATER PLASTIC BOTTLE 1 CT 33.8 OZ ,Clear Splash Mandarin Orange Sparkling Water Beverage 1 LTR BTL,Clear Splash Mandarin Orange Sparkling Water Beverage 1 LTR BTL,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
