UPCMasterId,UPC,GTINNumber,UPCName,GTINName,SAPHierId,DefaultHierId,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld,IRIUPC,IRI_UPCName,IRI_Category,IRI_SubCategory,OLD_IRI_Category,OLD_IRI_SubCategory,ASIN,ASIN_Name,PlanningBrandName,PlanningBrandSAPId,BrandCategory,SAPSegmentName,ParentCompany,ParentCompanyName,ParentCompanyOld,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,ECom_Category,LineExtension,TradeMark,Manufacturer,IsUPCNew,Source,IsSaturatedFatCompliant,IsSodiumCompliant,KCal,SaturatedFatInGrams,SodiumInMg,CustomCategory,CustomProductGroup,InnovationClass,InnovationSubClass,GTINMasterId,IRICategoryId,CustomUSFLNASaltySnacksSize,CustomUSCount,CustomUSSizePerUnitOz,IsMdmFuzzy,IsSapFuzzy,CLASS_NM,SIZE_DSC,WMT_ItemID,COPA_PLNG_BRND_VAL,COPA_PLNG_BRND_NM,LastUpdatedUserId,Brd_Source,MDM_GTINNumber,MDM_GTINName,Created,NAN_Category,FiananceSubBU,FinanceBrand,FinanceSubBrand,ExcludeFlag,BrandMasterId,Hrzn_Pkg_Grp_Desc,Config_Qty,Harmonized_SubCategory,Level2_Harmonized_SubCategory,Level1_Harmonized_SubCategory
154,81878001285,NULL,Angie's BOOMCHICKAPOP Popcorn Maple Sea Salt Organic 3.5 OZ BAG,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,8.19E+11,ANGIES BOOM CHICKA POP RTE POPCORN MAPLE SEA SALT SEA SALT ZERO TRANS FAT BAG 3.5 OZ ,SALTY SNACKS,RTE POPCORN,SALTY SNACKS,RTE POPCORN,NULL,NULL,NULL,NULL,NULL,NULL,CONAGRA BRANDS,NULL,ANGIES ARTISAN TREATS LLC,ANGIES BOOM CHICKA POP RTE POPCORN MAPLE SEA SALT SEA SALT ZERO TRANS FAT BAG 3.5 OZ ,Angie's BOOMCHICKAPOP Popcorn Maple Sea Salt Organic 3.5 OZ BAG,Angie's BOOMCHICKAPOP Popcorn Maple Sea Salt Organic 3.5 OZ BAG,0,0,1,Other,ANGIES BOOM CHICKA POP,ANGIES,ANGIES ARTISAN TREATS LLC,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131141,LARGE,1 CT,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ElvnDgtIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,SALTY SNACKS,Savory Snacks,TOTAL MACROSNACKS
157,89277300086,NULL,Bcp Sea Salt Popcorn,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,89277300086,ANGIES BC POP SEA SALT PC 5 OZ,SALTY SNACKS,RTE POPCORN,SALTY SNACKS,RTE POPCORN,NULL,NULL,NULL,NULL,NULL,NULL,CONAGRA INC,Conagra Inc,ANGIES ARTISAN TREATS LLC,ANGIES BC POP SEA SALT PC 5 OZ,Bcp Sea Salt Popcorn,Bcp Sea Salt Popcorn,0,0,1,Other,NULL,NULL,RENO,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,764728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,SALTY SNACKS,Savory Snacks,TOTAL MACROSNACKS
160,81878001353,NULL,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs Sweet Barbeque 4 OZ BAG,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,8.19E+11,ANGIES BOOM CHICKA PUFF CHEESE SNACK SWEET BARBEQUE ZERO GRAMS TRANS FAT BAG 4 OZ ,SALTY SNACKS,CHEESE PUFFS,SALTY SNACKS,CHEESE PUFFS,NULL,NULL,NULL,NULL,NULL,NULL,CONAGRA BRANDS,NULL,ANGIES ARTISAN TREATS LLC,ANGIES BOOM CHICKA PUFF CHEESE SNACK SWEET BARBEQUE ZERO GRAMS TRANS FAT BAG 4 OZ ,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs Sweet Barbeque 4 OZ BAG,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs Sweet Barbeque 4 OZ BAG,0,0,1,Other,ANGIES BOOM CHICKA PUFF,ANGIES,ANGIES ARTISAN TREATS LLC,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,283010,SINGLE SERVE,1 CT,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ElvnDgtIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,SALTY SNACKS,Savory Snacks,TOTAL MACROSNACKS
146,2620047180,NULL,Andy Capp Hot Fries,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,26200471801,ANDY CAPPS CORN & POTATO SNACK HOT PLASTIC PEG BAG 8 OZ ,SALTY SNACKS,ALL OTHER SALTY SNACK,SALTY SNACKS,ALL OTHER SALTY SNACK,NULL,NULL,NULL,NULL,NULL,NULL,CONAGRA BRANDS,Conagra Inc,CONAGRA FOODS INC,ANDY CAPPS CORN & POTATO SNACK HOT PLASTIC PEG BAG 8 OZ ,Andy Capp Hot Fries,Andy Capp Hot Fries,0,0,1,Other,ANDY CAPPS,ANDY CAPPS,CONAGRA BRANDS,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21525,LARGE,1 CT,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,SALTY SNACKS,Savory Snacks,TOTAL MACROSNACKS
153,89277300069,NULL,Bcp Lt Sweet Popcorn,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,89277300069,ANGIES BC POP LT KTTLCORN 5 OZ,SALTY SNACKS,RTE POPCORN,SALTY SNACKS,RTE POPCORN,NULL,NULL,NULL,NULL,NULL,NULL,CONAGRA INC,Conagra Inc,ANGIES ARTISAN TREATS LLC,ANGIES BC POP LT KTTLCORN 5 OZ,Bcp Lt Sweet Popcorn,Bcp Lt Sweet Popcorn,0,0,1,Other,NULL,NULL,RENO,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,758015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,SALTY SNACKS,Savory Snacks,TOTAL MACROSNACKS
155,89277300071,NULL,Angie's BOOMCHICKAPOP Popcorn Salted Caramel 6 OZ BAG,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,8.93E+11,ANGIES RTE POPCORN SALTED CARAMEL SALTED BAG 6 OZ ,SALTY SNACKS,RTE POPCORN,SALTY SNACKS,RTE POPCORN,NULL,NULL,NULL,NULL,NULL,NULL,CONAGRA BRANDS,NULL,ANGIES ARTISAN TREATS LLC,ANGIES RTE POPCORN SALTED CARAMEL SALTED BAG 6 OZ ,Angie's BOOMCHICKAPOP Popcorn Salted Caramel 6 OZ BAG,Angie's BOOMCHICKAPOP Popcorn Salted Caramel 6 OZ BAG,0,0,1,Other,ANGIES,ANGIES,ANGIES ARTISAN TREATS LLC,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,143997,LARGE,1 CT,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ElvnDgtIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,SALTY SNACKS,Savory Snacks,TOTAL MACROSNACKS
161,81878001349,NULL,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs White Cheddar 4 OZ BAG,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,8.19E+11,ANGIES BOOM CHICKA POP RTE POPCORN WHITE CHEDDAR ZERO TRANS FAT BAG 4 OZ - 0818780013491,SALTY SNACKS,RTE POPCORN,SALTY SNACKS,RTE POPCORN,NULL,NULL,NULL,NULL,NULL,NULL,ANGIES ARTISAN TREATS LLC,NULL,ANGIES ARTISAN TREATS LLC,ANGIES BOOM CHICKA POP RTE POPCORN WHITE CHEDDAR ZERO TRANS FAT BAG 4 OZ - 0818780013491,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs White Cheddar 4 OZ BAG,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs White Cheddar 4 OZ BAG,0,0,1,Other,NULL,NULL,ANGIES ARTISAN TREATS LLC,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ElvnDgtIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,SALTY SNACKS,Savory Snacks,TOTAL MACROSNACKS
1413,3663203273,NULL,Dan Lf Grk Vanilla,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,3663203273,DANN L&F VANILLA GRK YGRT 32 OZ,NON PEP CATEGORY,NON PEP CATEGORY,PEPSICO REVIEWS CATEGORIES US,YOGURT,NULL,NULL,NULL,NULL,NULL,NULL,DANONEWAVE,Danone Group,GROUPE DANONE S A,DANN L&F VANILLA GRK YGRT 32 OZ,Dan Lf Grk Vanilla,Dan Lf Grk Vanilla,0,0,1,Other,NULL,NULL,DANNON,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,743905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,NON PEP CATEGORY,NON PEP CATEGORY,NON PEP CATEGORY
1415,3663201938,NULL,Dannon Oikos Caramel on Top Greek Dairy Snack Bananas Foster 5.3 OZ CUP,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,36632019381,DANNON OIKOS BANANA FOSTER YOGURT RFG 1 CT 5.3 OZ ,PEPSICO REVIEWS CATEGORIES US,YOGURT,PEPSICO REVIEWS CATEGORIES US,YOGURT,NULL,NULL,NULL,NULL,NULL,NULL,GROUPE DANONE S A,Danone Group,GROUPE DANONE S A,DANNON OIKOS BANANA FOSTER YOGURT RFG 1 CT 5.3 OZ ,Dannon Oikos Caramel on Top Greek Dairy Snack Bananas Foster 5.3 OZ CUP,Dannon Oikos Caramel on Top Greek Dairy Snack Bananas Foster 5.3 OZ CUP,0,0,1,Other,DANNON OIKOS,DANNON,DANNON CO,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187347,N/A,1 CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,DAIRY,NON-PEP CATEGORIES,NON-PEP CATEGORIES
3550,3800013278,NULL,Kellogg's Origins Ancient Grains Blend Cereal Touch of Honey 11.8 OZ BOX,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,38000132781,KELLOGGS ANCIENT GRAIN CRUNCHY FLAKES HONEY 1 CT 11.8 OZ ,COLD CEREAL,RTE CEREAL,RTE CEREAL,RTE CEREAL,NULL,NULL,NULL,NULL,NULL,NULL,KELLOGG CO,NULL,KELLOGG CO,KELLOGGS ANCIENT GRAIN CRUNCHY FLAKES HONEY 1 CT 11.8 OZ ,Kellogg's Origins Ancient Grains Blend Cereal Touch of Honey 11.8 OZ BOX,Kellogg's Origins Ancient Grains Blend Cereal Touch of Honey 11.8 OZ BOX,0,0,1,Other,KELLOGGS ORIGINS,KELLOGGS ORIGINS,KELLOGG CO,0,ShiptShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,189328,N/A,1 CT,11.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,RTE CEREAL,Quaker Core,QUAKER FOODS
