,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,lat_dist,lon_dist,lat_miles,lon_miles,totaldistance,Speed,date,Time_day,age,weight,calories_burned
113,655.0,2018-10-15 19:40:10.841,2018-10-15 19:51:06.2480,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,3549.0,Grand Ave & Bergen St,40.678045000000004,-73.962408,15926,Subscriber,1985,1,0.011843000000006043,-0.018605000000007976,1.3172949149388105,-1.5852678405280238,2.0611501689920684,11.328458944078546,2018-10-15,19,20-39,196.9,130.27222222222218
114,546.0,2016-10-13 15:29:47.000,2016-10-13 15:38:54,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,528.0,2 Ave & E 31 St,40.74290902,-73.97706058,23863,Subscriber,1990,1,-0.015117760000002534,-0.008588869999996973,-1.6815459236053811,-0.7318279708393062,1.8338944550046088,12.091611791239178,2016-10-13,15,20-39,196.9,108.59333333333332
115,298.0,2018-06-28 15:27:11.466,2018-06-28 15:32:09.7290,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,490.0,8 Ave & W 33 St,40.751551,-73.993934,29091,Subscriber,1967,1,0.008641519999997627,0.002678899999992268,0.9611948284499784,0.22825982359454156,0.9879261335273984,11.934678123149776,2018-06-28,15,40-59,200.9,60.472929292929294
116,626.0,2014-06-23 09:27:49.000,2014-06-23 09:38:15,473.0,Rivington St & Chrystie St,40.72110063,-73.99192540000001,325.0,E 19 St & 3 Ave,40.73624527,-73.98473765,15310,Subscriber,1974,1,-0.01514463999999549,-0.007187750000014148,-1.6845357815218094,-0.6124433711783309,1.7924139260024656,10.307811715030153,2014-06-23,9,40-59,200.9,127.03373737373735
117,765.0,2014-08-08 13:51:34.000,2014-08-08 14:04:19,295.0,Pike St & E Broadway,40.71406667,-73.99293911,342.0,Columbia St & Rivington St,40.71739973,-73.98016555,21646,Subscriber,1954,2,-0.003333059999995669,-0.012773559999999408,-0.3707357079437648,-1.08839096356063,1.149799919422941,5.410823150225603,2014-08-08,13,60+,166.5,128.65909090909088
118,917.0,2016-08-27 12:00:50.000,8/27/2016 12:16:08,3256.0,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,22767,Subscriber,1987,1,-0.03258688222220485,-0.012453515836028828,-3.624633475048423,-1.061121104883338,3.776763935920597,14.826990370026332,2016-08-27,12,20-39,196.9,182.3811111111111
119,216.0,2016-08-02 12:49:42.000,8/2/2016 12:53:19,3088.0,Union Ave & Jackson St,40.7160751,-73.95202900000002,3077.0,Stagg St & Union Ave,40.70877084,-73.95095259,23025,Subscriber,1985,1,0.007304259999997953,-0.0010764100000244523,0.8124516216654015,-0.0917171812018706,0.8176121812169616,13.62686968694936,2016-08-02,12,20-39,196.9,42.96
120,560.0,2016-10-10 16:41:30.000,2016-10-10 16:50:50,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,3255.0,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,25298,Subscriber,1967,1,-0.008845657021495867,0.000529255406803486,-0.9839009553072148,0.04509602665040492,0.984933876701428,6.331717778794895,2016-10-10,16,40-59,200.9,113.64040404040405
121,233.0,2016-07-03 12:16:53.000,7/3/2016 12:20:46,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,20863,Subscriber,1968,1,-0.006415420000003279,-0.003848630000007347,-0.7135860966981975,-0.3279284799301478,0.7853293610646852,12.133844205291275,2016-07-03,12,40-59,200.9,47.282525252525254
122,343.0,2018-08-04 13:34:32.189,2018-08-04 13:40:15.7780,3605.0,31 Ave & Crescent St,40.76583460000001,-73.9265474,3610.0,Vernon Blvd & 30 Rd,40.770845,-73.93417099999998,30732,Subscriber,1986,1,-0.00501039999998909,0.007623599999973862,-0.5573059564123682,0.6495806454717993,0.8558883946077689,8.983085191218564,2018-08-04,13,20-39,196.9,68.21888888888888
123,362.0,2018-06-20 09:54:14.555,2018-06-20 10:00:17.0300,3396.0,Clinton St & 4 Place,40.6783563,-74.00014502,3308.0,Kane St & Clinton St,40.686175799999994,-73.99645295,28191,Subscriber,1972,2,-0.007819500000003643,-0.003692069999999603,-0.8697616809392529,-0.31458854264849034,0.9249061210717421,9.197961425022848,2018-06-20,9,40-59,176.4,64.50181818181817
124,311.0,2014-09-17 09:47:57.000,9/17/2014 09:53:08,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,17027,Subscriber,1973,2,0.008860040000001845,0.00254581000000087,0.9855007716077796,0.2169196840147432,1.009091631197378,11.680803447943926,2014-09-17,9,40-59,176.4,55.41454545454545
125,656.0,2018-10-01 21:41:34.154,2018-10-01 21:52:30.2090,398.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999998,3486.0,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,29731,Subscriber,1987,1,0.0032344024591708376,-0.015462038968635737,0.35976204613097645,-1.3174669780144488,1.3657042022322663,7.4947181829819485,2018-10-01,21,20-39,196.9,130.47111111111113
